name,twitterHandler,linkTwitter,project,image,note
Frank Chaparro,@fintechfrank,,Director of TheBlock,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Frank%20Chaparro.jpg?alt=media,
Mayne,@Tradermayne,,Founder - @breakoutprop,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Mayne.jpg?alt=media,
DavidHoffman.eth/acc,@TrustlessState,,The chaotic side of @Banklesshq,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/DavidHoffman.eth_acc%F0%9F%A6%87%F0%9F%94%8A.jpg?alt=media,
Furkan Yildirim,@FurkanCCTV,,Founder CoinCheck TV & @MakroVisionDE,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Furkan%20Yildirim.jpg?alt=media,
Dan Held,@danheld,,"Investing in Bitcoin DeFi, Advisor at Trust Machines",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Dan%20Held.jpg?alt=media,
Preston Pysh,@PrestonPysh,,Cofounder of TIP. GP@egodeathcapital,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Preston%20Pysh.jpg?alt=media,
Robert ₿reedlove,@Breedlove22,,"Creator of The ""What is Money?"" ",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Robert%20%E2%82%BFreedlove.jpg?alt=media,
Alex Svanevik ,@ASvanevik,,CEO of Nansen,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Alex%20Svanevik%20%F0%9F%90%A7.jpg?alt=media,
Kain,@kaiynne,,Founder of Synthetix,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/kain%20%F0%9F%8D%8A.png?alt=media,
Miles Deutscher,@milesdeutscher,,Defi & Crypto Analyst,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Miles%20Deutscher.jpg?alt=media,
Sheldon the Sniper,@Sheldon_Sniper,,Youtuber: Crypto Banter,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Sheldon%20The%20Sniper.jpg?alt=media,
Suhail,@Suhail,,Founder of PlayGround and MixPanel,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Suhail.jpg?alt=media,
Patrick Collison,@patrickc,,CEO of Striple,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Patrick%20Collison.jpg?alt=media,
John Collison,@collision,,Co-Founder of Striple,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/John%20Collison.jpg?alt=media,
Reid Hoffman,@reidhoffman,,Co-founder Linkedln,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Reid%20Hoffman.jpg?alt=media,
"benahorowitz.eth
",@bhorowitz,,co-founder and general partner at az16,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/benahorowitz.eth.jpg?alt=media,
Bill Gurley,@bgurley,,Venture capitalist and a general partner at Benchmark,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Bill%20Gurley.jpg?alt=media,
"david friedberg
",@friedberg,,"Founder and CEO of The Production Board,",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/david%20friedberg.jpg?alt=media,
Bill Ackman,@BillAckman,,CEO Pershing Square,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Bill%20Ackman.jpg?alt=media,
